new	rank	total	per	simp	comp	title
7696	7654	-185.143	-0.753	-0.970	-9.681	迷家
7695	7639	-183.866	-0.712	-0.945	-9.190	成神之日
7694	7653	-109.141	-0.729	-0.924	-7.386	约定的梦幻岛 第二季
7693	7670	-74.769	-0.784	-0.915	-6.619	国王游戏
7692	7658	-108.187	-0.718	-0.914	-7.290	奇蛋物语 特别篇
7691	7664	-89.010	-0.773	-0.911	-7.012	我喜欢的是妹妹但不是妹妹
7690	7652	-87.970	-0.731	-0.910	-6.846	魔法战争
7689	7659	-83.278	-0.750	-0.906	-6.810	Chaos Dragon 赤龙战役
7688	7571	-90.699	-0.601	-0.883	-6.202	带着智能手机闯荡异世界。
7687	7570	-163.703	-0.597	-0.882	-8.102	Fate/Apocrypha
7686	7596	-54.659	-0.654	-0.878	-5.337	与僧侣交合的色欲之夜
7685	7573	-143.348	-0.579	-0.871	-7.328	刀剑神域 Alicization篇 War of Underworld -THE LAST SEASON-
7684	7567	-103.753	-0.627	-0.871	-6.695	贤者之孙
7683	7636	-77.784	-0.648	-0.870	-6.038	超人高校生在异世界也可以活的风生水起！
7682	7551	-89.693	-0.614	-0.866	-6.255	普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗？
7681	7603	-63.217	-0.655	-0.859	-5.614	伊斯卡
7680	7622	-57.311	-0.630	-0.855	-5.254	至高指令
7679	7626	-63.910	-0.657	-0.854	-5.569	Hand Shakers
7678	7578	-116.357	-0.598	-0.849	-6.874	平凡职业造就世界最强
7677	7572	-80.385	-0.600	-0.844	-5.949	圣剑使的禁咒咏唱
7676	7536	-118.959	-0.586	-0.843	-6.787	约会大作战 第三季
7675	7583	-71.067	-0.627	-0.840	-5.684	八男？别闹了！
7674	7490	-97.123	-0.563	-0.837	-6.323	pupa
7673	7612	-63.218	-0.511	-0.834	-4.890	正确的KADO
7672	7649	-48.021	-0.665	-0.832	-5.005	为我而生
7671	7592	-63.836	-0.593	-0.831	-5.311	禁忌咒纹
7670	7555	-70.840	-0.576	-0.831	-5.454	捏造陷阱 -NTR-
7669	7606	-72.071	-0.617	-0.829	-5.608	青梅竹马绝对不会输的恋爱喜剧
7668	7526	-87.393	-0.584	-0.826	-5.880	侦探已经死了。
