id,name_cn,rank,total,total_score,prob_score,simp_score,conf_score
3,空中杀手,518,1901,-22,-2.1455,-5,-6.8687
8,Code Geass 反叛的鲁路修R2,104,11695,1725540,5018.1244,7223,75886.0686
12,人形电脑天使心,798,3754,359413,3499.7676,5646,31411.9559
50,机动战士高达,327,2557,411495,4638.8621,6801,38241.1811
51,CLANNAD,69,16414,2065042,4999.2481,7263,81985.6255
233,剧场版 空之境界 第一章 俯瞰风景,258,7761,1109331,4654.2948,6975,60130.3989
234,AIR,220,8719,1074095,4440.4662,6914,57586.41
236,超时空要塞Frontier,1061,3226,232030,2756.7147,4807,22840.9642
237,攻壳机动队,7,7020,1517685,6531.4948,7650,81590.3003
238,攻壳机动队2 无罪,14,5113,1191968,6329.035,7600,71952.4892
242,穿越时空的少女,304,9081,1084894,4635.2877,6906,60142.4147
244,神灵狩,2882,450,-21821,171.4802,308,-654.7723
247,银魂,21,9465,1253096,5424.1548,7484,68043.2534
253,星际牛仔,2,12434,2092473,6591.6413,7677,94802.4278
254,混沌武士,37,6580,1172969,5860.9304,7558,68675.7172
259,夏目友人帐,219,8153,922578,4548.8146,6828,54360.6451
265,新世纪福音战士,9,20185,2865783,6079.179,7672,105839.0286
274,Kanon,442,5159,615260,3955.4598,6255,41890.013
276,幸运星,112,10967,1574623,5052.1613,7288,72900.7685
280,柯赛特的肖像,1768,911,43542,1928.7673,3385,9902.2686
281,死后文,2283,2161,12318,1624.6417,2709,8774.5861
282,狼与香辛料,364,7729,934851,4213.8153,6576,52394.9183
283,南家三姐妹,583,4931,591401,3944.3741,6174,41131.2193
284,草莓棉花糖,378,2767,434878,4163.0834,6569,36971.0811
286,机动战士高达00,698,4241,438572,3763.5902,5924,35081.4946
288,寒蝉鸣泣之时 解,166,7874,1303653,4981.0168,7193,66373.0158
289,寒蝉鸣泣之时,193,9321,1370843,4864.0302,7117,67327.9501
290,Fate/stay night,1977,8997,-1247,1763.1097,3036,14848.0245
292,DARKER THAN BLACK -黑之契约者-,256,7423,1047533,4704.562,6970,58309.3213
294,图书馆战争,2091,1627,13768,1442.0509,2678,7539.4413
295,风之谷,74,5720,1056785,5617.6275,7495,64704.9837
297,拜托了老师,3591,923,-52327,579.029,1058,-301.9702
298,天空之城,44,8628,1482239,5804.0318,7567,76603.7492
299,再见绝望先生,434,4190,522876,4076.2968,6596,39769.1313
300,俗?再见绝望先生,390,2733,410600,4107.5581,6401,35566.5583
302,龙猫,122,7789,1207870,5408.7635,7375,67829.9578
303,迷宫塔 ～乌鲁克之盾～,2187,1049,-939,977.5399,1768,4020.9998
304,RD 潜脑调查室,3503,228,-15723,45.1085,79,-1091.086
305,魔女宅急便,467,3861,511803,4436.0073,6590,41894.6466
306,我自己；你自己,4153,1093,-117640,-395.0239,-612,-6943.4554
307,红猪,199,3339,638173,5223.8193,7253,49937.0023
308,君吻 pure rouge,3226,884,-44244,380.8699,751,-573.704
309,真实之泪,795,5310,542900,3607.8213,5935,38038.0689
310,幽灵公主,57,6727,1239012,5702.6646,7574,70319.8647
311,千与千寻,24,15719,2479454,5899.4695,7627,98242.2832
312,哈尔的移动城堡,355,6086,701091,4317.9092,6643,47494.7248
313,崖上的波妞,1693,2696,70080,2392.8585,4010,15453.0508
314,鲁邦三世 卡里奥斯特罗之城,299,854,216471,4273.114,6091,27734.3375
315,钢之炼金术师,114,7171,1121049,5209.9397,7412,63860.148
317,我家有个狐仙大人,3778,1271,-112794,107.5832,11,-4517.6645
318,太阳王子霍尔斯的大冒险,4466,149,0,0.0,0,0.0
320,攻壳机动队 S.A.C. Solid State Society,66,2653,677051,5650.4861,7314,52657.3059
321,机动警察 和平保卫战,13,2213,612614,5911.9666,7223,51245.7342
382,萤火虫之墓,675,3050,329482,3556.2284,6343,30620.2744
323,秀逗魔导士EVOLUTION-R,3344,481,-42585,-118.2585,-261,-3098.2596
324,攻壳机动队 STAND ALONE COMPLEX,3,7562,1646549,6601.8395,7659,84847.7274
325,鹡鸰女神,5768,1152,-213267,-1190.7835,-2232,-14583.6727
326,攻壳机动队 S.A.C. 2nd GIG,1,6351,1445799,6696.088,7635,80284.0226
329,忘却的旋律,5225,129,-31351,-883.4048,-1762,-5064.6704
330,向阳素描×365,515,1087,209457,3378.6522,5594,23733.6128
334,全金属狂潮,555,4518,550619,3989.542,6184,40695.9301
337,全金属狂潮 The Second Raid,352,3805,632973,4488.7237,6677,45403.904
338,全金属狂潮 校园篇,144,5106,927804,5095.6884,7263,57642.5968
340,虫师,17,8350,1487841,6227.4735,7626,78655.0125
369,老人Z,1143,759,144582,3664.9499,5526,21715.4302
407,平成狸合战,493,1318,255661,4194.8125,6327,29574.1908
425,哆啦A梦：大雄的恐龙,1636,536,52871,2217.4182,3769,10856.5249
436,哆啦A梦：大雄的宇宙开拓史,2080,369,26975,1718.0496,2954,7302.2439
437,哆啦A梦：大雄的大魔境,1897,346,28455,1643.4684,2749,7082.5781
438,哆啦A梦：大雄的海底鬼岩城,2132,317,14015,1301.4081,2297,4961.9257
439,哆啦A梦：大雄的魔界大冒险,1075,406,60111,2389.6984,4048,11564.8638
440,校园迷糊大王,238,3083,540279,4499.6145,6963,42234.5766
441,哆啦A梦：大雄的宇宙小战争,2147,331,26410,1685.4479,2861,7054.9592
