p_rk  rank  total     per     simp    comp    title
7696  7670  -74.769   -0.784  -0.915  -6.619  国王游戏
7695  7664  -89.010   -0.773  -0.911  -7.012  我喜欢的是妹妹但不是妹妹
7694  7654  -185.143  -0.753  -0.970  -9.681  迷家
7693  7659  -83.278   -0.750  -0.906  -6.810  Chaos Dragon 赤龙战役
7692  7652  -87.970   -0.731  -0.910  -6.846  魔法战争
7691  7653  -109.141  -0.729  -0.924  -7.386  约定的梦幻岛 第二季
7690  7675  -56.532   -0.728  -0.821  -5.557  兽娘动物园2
7689  7658  -108.187  -0.718  -0.914  -7.290  奇蛋物语 特别篇
7688  7639  -183.866  -0.712  -0.945  -9.190  成神之日
7687  7676  -31.809   -0.676  -0.701  -4.176  雷锋的故事
7686  7646  -52.720   -0.668  -0.825  -5.197  笑容的代价
7685  7649  -48.021   -0.665  -0.832  -5.005  为我而生
7684  7626  -63.910   -0.657  -0.854  -5.569  Hand Shakers
7683  7603  -63.217   -0.655  -0.859  -5.614  伊斯卡
7682  7596  -54.659   -0.654  -0.878  -5.337  与僧侣交合的色欲之夜
7681  7674  -68.909   -0.649  -0.732  -5.490  三体
7680  7636  -77.784   -0.648  -0.870  -6.038  超人高校生在异世界也可以活的风生水起！
7679  7622  -57.311   -0.630  -0.855  -5.254  至高指令
7678  7583  -71.067   -0.627  -0.840  -5.684  八男？别闹了！
7677  7567  -103.753  -0.627  -0.871  -6.695  贤者之孙
7676  7655  -49.622   -0.627  -0.769  -4.840  进化果实～不知不觉踏上胜利的人生～
7675  7613  -55.959   -0.623  -0.814  -5.102  星掠者
7674  7629  -40.962   -0.619  -0.782  -4.480  异世界超能魔术师
7673  7660  -62.602   -0.619  -0.776  -5.242  Love Live! Superstar!! 第二季
7672  7656  -41.412   -0.618  -0.715  -4.446  点满农民相关技能后，不知为何就变强了。
7671  7606  -72.071   -0.617  -0.829  -5.608  青梅竹马绝对不会输的恋爱喜剧
7670  7551  -89.693   -0.614  -0.866  -6.255  普通攻击是全体攻击而且能二次攻击的妈妈你喜欢吗？
7669  7627  -57.353   -0.612  -0.788  -5.080  失格纹的最强贤者
7668  7595  -73.090   -0.610  -0.824  -5.729  空战魔导士候补生的教官
