sid,title,rank,vote,avg,std,bayes,b_rank,avg_1,steamdb,s_rank,wilson,w_rank,extreme,e_rank
253,星际牛仔,1,12388,9.1493,1.1583,9.1393,2,0.9055,0.8817,1,0.9002,1,1.1213,1
326,攻壳机动队 S.A.C. 2nd GIG,2,6320,9.1597,1.1314,9.1400,1,0.9066,0.8775,3,0.8992,2,1.1114,3
324,攻壳机动队 STAND ALONE COMPLEX,3,7529,9.0960,1.0971,9.0800,4,0.8996,0.8724,4,0.8926,4,1.0964,4
876,CLANNAD 〜AFTER STORY〜,4,18174,9.0925,1.3444,9.0858,3,0.8992,0.8783,2,0.8947,3,1.1209,2
25961,猫和老鼠,5,7374,9.0081,1.1578,8.9923,5,0.8898,0.8631,5,0.8824,5,1.0918,5
6049,新世纪福音战士剧场版 Air/真心为你,6,11885,8.9477,1.1605,8.9381,6,0.8831,0.8603,6,0.8772,6,1.0807,6
237,攻壳机动队,7,6989,8.9398,1.0565,8.9236,7,0.8822,0.8556,7,0.8744,7,1.0691,7
1728,浪客剑心 追忆篇,8,5653,8.8951,1.0883,8.8755,8,0.8772,0.8492,9,0.8684,8,1.0628,9
265,新世纪福音战士,9,20114,8.8576,1.2683,8.8522,9,0.8731,0.8542,8,0.8684,9,1.0688,8
211567,3月的狮子 第二季,10,5991,8.7954,1.1716,8.7777,10,0.8662,0.8395,12,0.8573,11,1.0498,12
1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,15873,8.7735,1.4027,8.7669,11,0.8637,0.8439,10,0.8583,10,1.0542,10
2907,银河英雄传说,12,1855,8.8016,1.2694,8.7456,12,0.8668,0.8288,24,0.8506,18,1.0305,24
321,机动警察 和平保卫战,13,2201,8.7924,1.2088,8.7451,13,0.8658,0.8298,22,0.8509,17,1.0364,20
110467,白箱,14,13990,8.7453,1.0858,8.7379,14,0.8606,0.8402,11,0.8548,12,1.0483,13
238,攻壳机动队2 无罪,15,5091,8.7543,1.1259,8.7340,15,0.8616,0.8339,17,0.8518,13,1.0385,17
340,虫师,16,8327,8.7282,1.1488,8.7159,16,0.8587,0.8350,15,0.8510,16,1.0397,16
839,蓝色恐惧,17,6268,8.7318,1.0572,8.7155,17,0.8591,0.8333,18,0.8503,19,1.0322,23
10380,命运石之门,18,22520,8.7059,1.1576,8.7013,19,0.8562,0.8388,13,0.8516,14,1.0408,15
11834,银魂',19,9871,8.7242,1.4255,8.7139,18,0.8582,0.8358,14,0.8512,15,1.0526,11
1608,灌篮高手,20,7198,8.7066,1.2352,8.6925,20,0.8563,0.8317,20,0.8480,21,1.0365,19
3375,凉宫春日的消失,21,14740,8.6885,1.1529,8.6817,22,0.8543,0.8346,16,0.8485,20,1.0381,18
247,银魂,22,9438,8.6924,1.3998,8.6817,21,0.8547,0.8322,19,0.8475,22,1.0420,14
840,千年女优,23,7781,8.6896,1.0897,8.6767,23,0.8544,0.8305,21,0.8464,23,1.0346,21
311,千与千寻,24,15650,8.6324,1.0638,8.6261,24,0.8480,0.8290,23,0.8423,24,1.0331,22
1270,水星领航员 第三季,25,1920,8.6562,1.4177,8.6058,26,0.8507,0.8147,32,0.8341,27,1.0194,27
263750,进击的巨人 第三季 Part.2,26,10832,8.6342,1.3988,8.6252,25,0.8482,0.8270,25,0.8414,25,1.0268,25
770,天元突破 红莲螺岩,27,9917,8.5958,1.2126,8.5862,27,0.8440,0.8224,26,0.8367,26,1.0129,32
146457,瑞克和莫蒂 第三季,28,3042,8.5920,1.1644,8.5610,28,0.8436,0.8128,36,0.8302,33,1.0187,28
106207,虫师 续章 第2期,29,2877,8.5770,1.0524,8.5444,32,0.8419,0.8108,38,0.8281,37,1.0106,36
1962,大闹天宫,30,3649,8.5843,1.3167,8.5584,29,0.8427,0.8137,35,0.8305,32,1.0086,41
1015,机动战士高达0080 口袋里的战争,31,3267,8.5828,1.1162,8.5540,30,0.8425,0.8126,37,0.8296,34,1.0096,38
3302,福音战士新剧场版：破,32,10816,8.5618,1.1459,8.5531,31,0.8402,0.8194,28,0.8332,28,1.0183,29
37460,哆啦A梦 大山版,33,1723,8.5879,1.1221,8.5339,35,0.8431,0.8067,47,0.8252,39,1.0212,26
93739,乒乓,34,8654,8.5462,1.0814,8.5354,33,0.8385,0.8164,30,0.8306,31,1.0129,31
254,混沌武士,35,6546,8.5409,1.0769,8.5268,36,0.8379,0.8139,34,0.8288,36,1.0122,34
216371,莉兹与青鸟,36,9345,8.5445,1.2936,8.5345,34,0.8383,0.8167,29,0.8307,30,1.0138,30
9622,机动战士Z高达,37,2592,8.5548,1.2254,8.5191,39,0.8394,0.8076,44,0.8248,40,1.0054,45
9717,魔法少女小圆,38,22408,8.5240,1.2365,8.5199,38,0.8360,0.8195,27,0.8311,29,1.0098,37
4019,四叠半神话大系,39,8940,8.5317,1.1179,8.5213,37,0.8369,0.8151,31,0.8290,35,1.0052,46
92705,虫师 续章,40,3322,8.5253,1.0637,8.4978,41,0.8361,0.8069,46,0.8232,43,1.0118,35
141530,瑞克和莫蒂 第二季,41,2965,8.5258,1.0923,8.4950,42,0.8362,0.8059,48,0.8224,45,1.0092,39
325285,奇巧计程车,42,10370,8.5147,1.0314,8.5058,40,0.8350,0.8143,33,0.8277,38,1.0047,47
39923,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,43,4667,8.5007,1.2118,8.4814,43,0.8334,0.8072,45,0.8225,44,1.0060,44
841,红辣椒,44,7698,8.4861,1.0611,8.4744,47,0.8318,0.8094,40,0.8233,42,1.0065,43
173849,排球少年 乌野高校 VS 白鸟泽学园高校,45,3669,8.5040,1.0245,8.4793,45,0.8338,0.8056,49,0.8214,47,1.0084,42
298,天空之城,46,8592,8.4909,1.0467,8.4804,44,0.8323,0.8106,39,0.8243,41,1.0123,33
93377,瑞克和莫蒂 第一季,47,3430,8.5009,1.0619,8.4746,46,0.8334,0.8047,50,0.8206,48,1.0087,40
848,蜂蜜与四叶草II,48,3306,8.5012,1.1696,8.4740,48,0.8335,0.8044,51,0.8204,49,1.0028,49
10291,攻壳机动队2.0,49,2278,8.4903,1.1987,8.4513,50,0.8323,0.7998,61,0.8164,54,0.9967,56
