Entries,6565

Average of Average,6.6637
Standard Deviation of Average,0.8609
Maximum of Average,9.1597
+2sigma of Average,8.1575
Upper Quartile of Average,7.2397
Median of Average,6.7071
Lower Quartile of Average,6.1905
-2sigma of Average,4.7722
Minimum of Average,1.0962

Average of Standard Deviation,1.2608
Standard Deviation of Standard Deviation,0.2263
Maximum of Standard Deviation,3.7899
+2sigma of Standard Deviation,1.8135
Upper Quartile of Standard Deviation,1.3596
Median of Standard Deviation,1.2175
Lower Quartile of Standard Deviation,1.1130
-2sigma of Standard Deviation,0.9582
Minimum of Standard Deviation,0.3541

