sid,title,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,rank,vote,avg,std,user
253,星际牛仔,55,11,6,15,64,165,509,1727,3862,5974,1,12388,9.149338069099128,1.1582740133647358,19010
326,攻壳机动队 S.A.C. 2nd GIG,31,8,8,5,16,61,196,924,2122,2949,2,6320,9.159651898734177,1.131392613514034,9905
324,攻壳机动队 STAND ALONE COMPLEX,26,4,6,8,36,99,256,1188,2730,3176,3,7529,9.096028689068934,1.0970668858971986,11796
876,CLANNAD 〜AFTER STORY〜,115,33,26,63,157,383,953,2380,4698,9366,4,18174,9.092494772752284,1.3444331969466687,26578
25961,猫和老鼠,22,9,4,7,26,127,429,1371,2307,3072,5,7374,9.00813669650122,1.1578385700755,11744
6049,新世纪福音战士剧场版 Air/真心为你,36,7,4,29,67,204,766,2128,4220,4424,6,11885,8.947665124106017,1.1605435783820652,18443
237,攻壳机动队,15,2,5,6,28,91,370,1397,2780,2295,7,6989,8.939762483903277,1.056538757407428,10631
1728,浪客剑心 追忆篇,10,2,4,9,19,98,343,1233,2076,1859,8,5653,8.895099946930833,1.0882511257710255,8119
265,新世纪福音战士,83,20,34,57,164,499,1417,3812,6800,7228,9,20114,8.857611613801332,1.268322013894756,30433
211567,3月的狮子 第二季,16,5,4,12,40,120,438,1436,2067,1853,10,5991,8.795359706226005,1.171570469933931,9661
1428,钢之炼金术师 FULLMETAL ALCHEMIST,177,21,21,34,146,326,1045,3358,5471,5274,11,15873,8.773514773514773,1.402690793090535,24505
2907,银河英雄传说,6,1,6,4,19,51,133,390,617,628,12,1855,8.801617250673855,1.2693770673906313,3416
321,机动警察 和平保卫战,8,3,6,4,11,42,150,514,795,668,13,2201,8.792367105860972,1.208803044822231,3384
110467,白箱,30,8,7,24,72,210,945,3856,5279,3559,14,13990,8.74531808434596,1.085796543552394,21506
238,攻壳机动队2 无罪,15,3,2,6,26,100,369,1283,1930,1357,15,5091,8.75427224513848,1.1258986309168424,7730
340,虫师,17,6,7,10,61,183,704,2037,3057,2245,16,8327,8.728233457427645,1.1488264130475985,13428
839,蓝色恐惧,11,5,6,6,34,99,417,1632,2651,1407,17,6268,8.731812380344607,1.0572459897577537,9038
10380,命运石之门,48,17,20,49,170,529,1875,5516,8519,5777,18,22520,8.705861456483126,1.157561178227118,33576
11834,银魂',82,18,24,28,80,267,915,2238,2686,3533,19,9871,8.724242731232904,1.4254652012082707,15613
1608,灌篮高手,21,7,11,26,49,189,637,1749,2422,2087,20,7198,8.706585162545151,1.2352102470612176,11002
3375,凉宫春日的消失,32,8,12,25,95,364,1280,3829,5316,3779,21,14740,8.68853459972863,1.152869770363882,21765
247,银魂,69,22,20,31,79,269,838,2242,2749,3119,22,9438,8.692413646959102,1.3998333694740597,15562
840,千年女优,12,5,1,12,34,159,686,2077,2951,1844,23,7781,8.689628582444415,1.089696166992531,11282
311,千与千寻,15,4,9,14,65,340,1479,4611,5745,3368,24,15650,8.632396166134185,1.0637859673197667,24373
1270,水星领航员 第三季,10,2,6,10,21,66,216,427,501,661,25,1920,8.65625,1.4177309115272898,3198
263750,进击的巨人 第三季 Part.2,132,16,21,31,73,224,770,2813,3948,2804,26,10832,8.634231905465288,1.3988160617394514,17232
770,天元突破 红莲螺岩,18,9,13,34,96,341,946,2578,3558,2324,27,9917,8.595845517797722,1.2126084958702281,15729
