sid,title,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,rank,vote,avg,std,user
62229,塞尔达传说 旷野之息,24,1,5,4,23,36,122,364,1012,2563,1,4154,9.36254212806933,1.1428970481917555,5905
1126,时空轮回,24,7,7,10,33,77,250,761,1784,2832,2,5785,9.151253241140882,1.1805579606093557,7665
2113,塞尔达传说 -时光之笛-,12,1,0,2,0,5,19,29,84,241,3,393,9.117048346055979,1.7853059951701262,743
283730,星际拓荒,4,0,2,3,5,15,36,85,182,334,4,666,9.07957957957958,1.3292630905081246,1069
105699,血源诅咒,6,2,1,0,5,19,62,272,547,471,5,1385,8.949458483754512,1.1261454958748844,1990
13,CLANNAD,34,3,6,21,41,88,270,739,1331,1720,6,4253,8.901011051022808,1.372303859237696,6063
943,逆转裁判3,3,1,2,4,4,27,143,655,1163,761,7,2763,8.876945349258053,0.9823195272140581,3695
4723,幽灵诡计,3,2,0,4,5,20,110,447,874,544,8,2009,8.87008461921354,1.009435842225401,2730
280440,死月妖花～四月八日～,3,1,1,2,5,5,9,31,70,118,9,245,8.946938775510205,1.6115782656934918,422
2736,超级马力欧兄弟,10,4,1,5,13,28,123,249,404,558,10,1395,8.848028673835126,1.3973302960170362,2084
3154,命运石之门,12,2,5,6,22,76,300,988,1937,1299,11,4647,8.833225737034645,1.096755583344798,6624
4828,Muv-Luv Alternative,28,4,7,6,19,54,135,357,725,830,12,2165,8.83418013856813,1.4963343462051646,3051
195573,荒野大镖客：救赎2,6,0,1,5,10,45,104,262,548,475,13,1456,8.828983516483516,1.2349136018863418,2177
1127,Remember11：无限轮回的时光,16,7,3,3,20,41,197,418,619,841,14,2165,8.822632794457276,1.3957856385429894,2800
54898,白色相簿2 幸福的彼端,7,3,3,2,6,26,73,191,294,384,15,989,8.838220424671386,1.3948175304762933,1549
88868,女神异闻录5,9,3,4,1,12,51,153,534,967,713,16,2447,8.816101348590111,1.1646695199361876,3463
15717,塞尔达传说 时之笛 3D,3,1,0,0,2,10,33,72,136,151,17,408,8.862745098039216,1.319456332531078,713
295044,半衰期：爱莉克斯,3,0,0,1,1,3,6,24,79,68,18,185,8.945945945945946,1.4246089258715018,297
1502,潜龙谍影3 食蛇者,2,0,0,0,2,6,27,63,122,115,19,337,8.869436201780415,1.2110460849270055,512
51361,Ruina 废都物语,1,1,1,1,1,17,43,159,291,199,20,714,8.822128851540617,1.0913527982169615,1118
328585,海猫鸣泣之时咲～猫箱和梦想的交响曲～,6,0,1,1,4,7,19,34,91,131,21,294,8.874149659863946,1.6581519273988794,424
205917,超级马力欧 奥德赛,10,1,2,3,6,38,125,350,545,502,22,1582,8.778761061946902,1.269242876260863,2357
24059,黑暗之魂,6,3,1,7,11,28,91,282,535,399,23,1363,8.777696258253851,1.255258043539287,2076
174632,Narcissu 10th Anniversary Anthology Project,1,0,0,0,2,5,19,86,132,91,24,336,8.80952380952381,1.0659914955011254,533
291280,极乐迪斯科,0,2,0,4,8,27,73,230,393,274,25,1011,8.753709198813056,1.1355567837863572,1680
146598,十三机兵防卫圈,5,1,2,2,15,62,210,716,1098,685,26,2796,8.726037195994278,1.0897074216095246,3683
1536,大神,3,1,1,2,5,21,65,134,224,224,27,680,8.75,1.312552519957605,1120
227,超级马里奥银河,2,1,0,0,0,6,18,55,101,81,28,264,8.806818181818182,1.2749743420958537,415
7978,最果てのイマ,2,0,1,1,2,9,15,31,57,87,29,205,8.824390243902439,1.5200738890585226,403
385912,生化危机4 重制版,0,0,0,0,1,2,23,49,108,57,30,240,8.8,0.9626352718795766,318
12596,我的世界,9,3,6,5,15,86,256,610,882,790,31,2662,8.697971450037565,1.2649064676240063,3815
46094,重装机兵,1,0,0,0,0,2,15,40,65,55,32,178,8.837078651685394,1.1423297721851837,295
15912,传送门2,1,1,2,1,9,36,130,421,696,359,33,1656,8.69927536231884,1.050718390786028,2377
73681,超级密特罗德,2,0,1,0,0,1,10,26,40,55,34,135,8.881481481481481,1.470962657087512,201
608,星际争霸,2,0,2,4,9,54,151,337,504,438,35,1501,8.70219853431046,1.2040025256770128,2036
192977,大逆转裁判2 成步堂龙之介的觉悟,3,1,1,2,2,14,57,240,379,192,36,891,8.709315375982042,1.095707717002649,1234
97911,潜伏之赤途,6,3,3,3,3,20,59,236,400,226,37,959,8.685088633993743,1.269230292096555,1193
6818,魔兽争霸III：冰封王座,2,2,1,1,14,46,216,531,726,522,38,2061,8.672003881610868,1.1275463659468703,2832
2213,异域镇魂曲,5,2,0,3,0,7,15,51,61,111,39,255,8.764705882352942,1.730785102304025,457
7801,恶魔城X 月下夜想曲,0,1,0,0,6,11,45,147,229,133,40,572,8.706293706293707,1.069815799007728,791
249296,只狼：影逝二度,1,1,6,3,9,32,128,576,997,334,41,2087,8.666506947771921,0.9852503119105888,2905
3237,异度装甲,1,1,0,2,1,3,15,40,86,60,42,209,8.770334928229666,1.3032459963711882,375
20188,时空之轮,0,0,0,4,3,6,37,92,118,111,43,371,8.716981132075471,1.1876305646683936,617
609,暗黑破坏神Ⅱ：毁灭之王,1,2,0,2,7,40,135,312,513,321,44,1333,8.669167291822955,1.1329819035487216,1808
343,英雄传说6：空之轨迹SC,2,1,3,5,3,48,193,646,772,511,45,2184,8.659798534798535,1.0839805712399517,2819
4126,汪达与巨像,4,1,1,1,4,12,51,128,191,162,46,555,8.693693693693694,1.3287723304526051,881
3035,博德之门II：安姆的阴影,5,0,1,1,1,3,5,26,58,65,47,165,8.787878787878787,1.788135574779628,274
40,仙剑奇侠传,7,3,5,4,17,62,217,452,771,521,48,2059,8.637688198154445,1.2613189123498432,2766
137442,黑暗之魂3,2,1,1,5,7,31,155,566,837,344,49,1949,8.637249871729091,1.0136410955340143,2705
284100,艾尔登法环,13,1,3,6,10,51,119,450,763,391,50,1807,8.640841173215273,1.2540815315516902,2404
6278,天地劫序传：幽城幻剑录,1,0,3,0,1,9,11,40,69,69,51,203,8.753694581280788,1.4206165473834598,306
14,潜龙谍影4 爱国者之枪,0,1,0,2,3,7,18,64,88,77,52,260,8.71923076923077,1.244223338463128,374
2720,CROSS†CHANNEL,9,5,7,13,37,69,210,512,871,604,53,2337,8.61617458279846,1.3442071471376766,3328
13426,皇牌空战零：贝尔肯战争,0,0,0,0,0,1,4,18,27,25,54,75,8.946666666666667,0.9506956517320473,122
3017,时空幻境,2,0,1,3,4,22,79,215,275,196,55,797,8.628607277289836,1.184417731506664,1119
277,魔兽世界,18,1,2,7,20,54,140,310,415,485,56,1452,8.62465564738292,1.531226242931171,2000
11028,海猫鸣泣之时~魔女与推理的轮舞曲~,7,1,0,5,11,15,40,111,155,184,57,529,8.652173913043478,1.5820352520574132,771
2739,DotA,12,1,1,4,7,39,80,199,259,295,58,897,8.623188405797102,1.5310381061397438,1200
104911,魔法门之英雄无敌3：死亡阴影,0,0,0,1,2,5,42,97,145,83,59,375,8.664,1.0426427959756879,509
1075,在世界尽头咏唱恋曲的少女YU-NO,8,5,2,4,14,21,59,155,288,228,60,784,8.623724489795919,1.5361289824180586,1282
3347,辐射2,2,0,1,2,2,3,29,48,74,81,61,242,8.694214876033058,1.430731045909439,389
4176,精灵宝可梦 银,0,0,0,1,0,11,58,135,169,109,62,483,8.627329192546584,1.050405871135886,716
56705,侠盗猎车手5,2,2,1,4,16,69,263,589,849,501,63,2296,8.590156794425088,1.142186290608426,3320
3938,魔法门之英雄无敌3：埃拉西亚的光复,0,0,0,0,1,17,49,141,182,107,64,497,8.62374245472837,1.0449070111931753,650
708,最终幻想6,2,0,1,0,4,5,23,70,82,79,65,266,8.661654135338345,1.3482777543718605,447
955,428 ～被封锁的涩谷～,0,2,3,4,9,44,146,474,681,297,66,1660,8.584939759036144,1.074071045522063,2325
3772,寂静岭2,0,0,0,0,1,5,26,67,104,51,67,254,8.65748031496063,0.9984255073399254,421
1076,古堡迷踪,0,1,1,2,0,11,35,77,108,86,68,321,8.63551401869159,1.2409863680521742,499
5418,魔法使之夜,4,2,2,4,13,58,239,912,968,520,69,2722,8.5686994856723,1.0736393224117142,3898
5395,Forest,0,1,1,4,8,20,39,94,162,122,70,451,8.611973392461197,1.3294342558147523,874
11736,最终幻想9,1,0,0,0,2,6,19,61,115,45,71,249,8.646586345381525,1.0992870971964273,390
236561,蔚蓝,1,1,2,3,6,27,92,290,362,196,72,980,8.566326530612244,1.13779628368776,1429
722,黄金太阳 失落的时代,0,0,0,0,1,8,29,79,107,60,73,284,8.630281690140846,1.0349177987783036,404
56363,海猫鸣泣之时散～真实与幻想的夜想曲～,9,2,2,2,7,11,26,44,96,136,74,335,8.614925373134328,1.9249542527103978,473
41424,最后生还者,5,1,1,4,10,44,120,288,399,267,75,1139,8.555750658472345,1.2817383639816575,1578
4166,精灵宝可梦 金,2,0,0,1,2,17,64,176,197,130,76,589,8.568760611205432,1.1584671647893359,823
10199,怪物猎人携带版3rd,3,1,2,2,11,40,130,383,490,268,77,1330,8.554887218045113,1.1654465190578203,1849
162833,游戏王ygocore,1,1,0,1,2,9,33,82,89,85,78,303,8.610561056105611,1.2897747195267233,470
22574,上古卷轴5：天际,3,0,3,4,16,69,197,500,670,380,79,1842,8.540173724212812,1.1778647809203744,2609
66198,巫师3：狂猎,7,1,5,6,24,85,254,645,885,497,80,2409,8.530925695309257,1.223124709029927,3779
117065,塞尔达传说 姆吉拉的假面 3D,2,0,0,2,0,2,10,31,54,39,81,140,8.685714285714285,1.4446240948808116,254
4022,Rewrite,11,7,5,6,29,93,339,794,1084,653,82,3021,8.53293611386958,1.2633887869408547,4310
1312,勇者斗恶龙5 天空的新娘,0,0,0,1,1,4,24,81,93,48,83,252,8.595238095238095,1.0171433030139918,366
5943,超级马里奥银河2,3,0,0,0,0,4,3,19,30,37,84,96,8.75,1.7380544678845176,156
39066,超级弹丸论破2 再见了绝望学园,4,1,2,1,10,69,271,845,1040,410,85,2653,8.517527327553713,1.0463144045269208,3597
1500,潜龙谍影,1,0,0,0,1,6,19,69,75,50,86,221,8.606334841628959,1.1548660207531145,313
1259,最终幻想7,1,1,0,1,0,19,51,160,211,92,87,536,8.539179104477611,1.1022172690627259,806
22660,女神异闻录4 黄金版,2,0,0,3,11,49,116,421,538,221,88,1361,8.51947097722263,1.088222306209653,2026
88413,星际争霸：母巢之战,1,0,0,0,5,13,45,129,144,94,89,431,8.554524361948955,1.158514006891102,640
2731,精灵宝可梦 魂银,2,0,0,2,1,12,68,149,191,103,90,528,8.530303030303031,1.1592146893701025,775
700,精灵宝可梦 绿宝石,2,0,0,1,6,21,116,427,392,198,91,1163,8.510748065348237,1.0361545287167249,1599
260,英雄传说6：空之轨迹FC,5,2,1,4,14,51,246,880,868,424,92,2495,8.504208416833666,1.0802853129446992,3342
634,忍者龙剑传 II,0,1,0,0,2,6,20,47,72,45,93,193,8.61139896373057,1.1998594958326825,274
1143,交响乐之雨,2,1,1,5,16,49,145,430,500,284,94,1433,8.510816468946267,1.1772685172511113,2099
155358,神界：原罪2,0,0,0,0,6,21,72,233,289,111,95,732,8.51775956284153,1.0100378216712314,1167
261,怪物猎人携带版2G,6,0,1,1,9,34,132,263,351,216,96,1013,8.498519249753208,1.275189542798952,1407
951,塞尔达传说：黄昏公主,2,0,0,0,2,5,12,37,79,33,97,170,8.605882352941176,1.3208600532519774,274
16203,梦幻模拟战2,0,0,0,1,0,2,10,28,44,25,98,110,8.690909090909091,1.0680947740163285,177
56706,潜龙谍影5 幻痛,1,1,3,2,8,24,65,201,302,119,99,726,8.505509641873278,1.1838432309058406,1121
1167,水仙,3,0,4,10,20,92,442,1095,1246,596,100,3508,8.476339794754846,1.0982306962522073,4686
258831,以撒的结合：忏悔,0,0,0,0,1,4,24,42,59,39,101,169,8.603550295857989,1.0944666362592,279
45396,矮人要塞,0,0,0,0,0,0,4,3,4,18,102,29,9.241379310344827,1.103448275862069,46
232,AIR,6,1,6,2,26,56,247,496,597,393,103,1830,8.469945355191257,1.276489164536025,2633
43325,幻想水浒传2,0,0,0,0,2,6,7,13,29,29,104,86,8.720930232558139,1.3176014394618878,150
9927,辐射：新维加斯,0,0,1,2,2,8,33,129,125,65,105,365,8.512328767123288,1.0843778855922386,549
249470,任天堂明星大乱斗 特别版,2,1,1,2,10,22,72,183,228,131,106,652,8.476993865030675,1.2657928163605972,989
109118,海猫鸣泣之时散,14,3,2,6,10,33,54,165,199,221,107,707,8.482319660537483,1.7375660502568702,969
845,Little Busters! EX,4,1,3,11,14,75,240,666,774,367,108,2155,8.45614849187935,1.168536878898956,2973
1111,逆转裁判,0,0,1,4,13,45,313,1065,1032,364,109,2837,8.457173070144519,0.956223060127694,3759
8791,地球冒险3,0,0,0,0,0,5,10,14,47,19,110,95,8.68421052631579,1.068822843818443,183
73806,海市蜃楼之馆,2,2,4,8,23,43,133,355,517,236,111,1323,8.470899470899472,1.2531531295735419,1899
88765,混沌子,10,3,5,6,25,76,242,740,867,426,112,2400,8.46375,1.2323497626485753,3256
39259,王国之心2,0,1,0,0,0,3,5,28,34,23,113,94,8.670212765957446,1.2062628931939359,156
2114,塞尔达传说：姆吉拉的假面,2,0,0,0,0,1,3,23,25,26,114,80,8.725,1.5489916074659669,135
267055,最终幻想14 暗影之逆焰,3,0,1,1,2,15,44,104,155,76,115,401,8.491271820448878,1.294742342743796,545
8234,维多利亚2,0,0,0,1,3,7,23,75,95,43,116,247,8.530364372469636,1.0863940785706405,346
2287,最终幻想10,0,0,0,0,5,15,52,135,149,78,117,434,8.47926267281106,1.0928268042515026,643
2832,魔兽世界：巫妖王之怒,1,0,0,1,5,13,41,129,112,85,118,387,8.488372093023257,1.2058188747504348,595
219,美妙世界,0,0,2,0,8,18,56,153,158,102,119,497,8.474849094567404,1.1901132063918773,712
2730,精灵宝可梦 心金,2,0,0,2,2,9,50,134,161,69,120,429,8.473193473193474,1.1576659712670412,647
101989,东方年代记 双姬蓬莱物语,3,0,2,1,1,5,17,64,65,55,121,213,8.51643192488263,1.5123784834791392,323
11136,牧场物语 矿石镇的伙伴们,0,0,0,1,1,15,86,219,203,99,122,624,8.445512820512821,1.017591610486776,837
278949,女神异闻录5 皇家版,10,3,0,8,7,45,108,327,411,210,123,1129,8.435783879539416,1.3682449275669768,1727
15675,女神异闻录2：罚,0,0,0,0,1,1,5,14,29,15,124,65,8.753846153846155,1.0382050965417224,118
4211,潜龙谍影 和平行者,0,1,1,3,3,12,43,105,161,64,125,393,8.483460559796438,1.1853028017789504,547
4347,家族计划,1,1,3,6,14,47,126,313,411,197,126,1119,8.438784629133155,1.225130347096862,1683
79183,皋月物语,0,0,0,0,1,0,4,6,10,17,127,38,8.973684210526315,1.202778408634362,89
9658,半衰期2,0,0,3,0,3,13,72,141,184,82,128,498,8.453815261044177,1.129592590134505,774
11230,大航海时代IV,0,0,0,2,0,9,51,161,156,61,129,440,8.456818181818182,0.9853236033434828,609
2038,精灵宝可梦 红,1,0,0,2,2,9,40,92,107,59,130,312,8.467948717948717,1.200533384636413,469
2041,精灵宝可梦 皮卡丘,1,0,0,1,3,21,57,146,142,94,131,465,8.453763440860214,1.1870772945261645,645
1573,女神侧身像,0,0,1,0,5,9,38,121,126,57,132,357,8.4593837535014,1.0880829702794919,504
8642,精灵宝可梦 白,1,0,0,2,1,11,68,163,136,89,133,471,8.437367303609342,1.1323297062259998,705
295957,Summer Pockets REFLECTION BLUE,6,2,3,5,10,51,196,620,611,259,134,1763,8.403857061826432,1.1595502903144554,2589
144881,海市蜃楼之馆：纯真的安魂曲,0,0,0,4,3,13,54,123,161,64,135,422,8.436018957345972,1.1246616256245552,587
1654,轩辕剑三 云和山的彼端,3,0,1,1,3,13,61,160,192,77,136,511,8.430528375733855,1.1979138400474407,678
718,塞尔达传说 缩小帽,2,0,1,0,2,8,64,249,203,79,137,608,8.421052631578947,1.0325384903586026,827
447,女神异闻录4,2,0,1,1,1,9,36,121,116,58,138,345,8.440579710144927,1.2051001330191673,483
38979,Ever17 (Xbox 360版),0,0,0,0,1,2,4,14,22,16,139,59,8.728813559322035,1.1324266500671232,111
1341,街霸3.3,0,1,0,1,0,2,10,23,39,21,140,97,8.587628865979381,1.2823349942652547,149
954,雷顿教授与最后的时间旅行,0,0,0,0,1,17,59,169,143,74,141,463,8.421166306695465,1.0317555863927592,645
19391,塞尔达传说 天空之剑,2,0,0,0,0,7,10,38,46,31,142,134,8.522388059701493,1.417989000180731,218
2118,塞尔达传说：风之杖,1,0,0,0,1,1,5,22,26,20,143,76,8.644736842105264,1.364049190427463,130
50761,地球冒险2,0,0,1,0,0,1,2,6,22,12,144,44,8.840909090909092,1.2602882393647066,83
316,燃烧吧！热血旋律魂 押忍！战斗！应援团2,0,0,0,1,3,7,38,121,111,48,145,329,8.43161094224924,1.0324687064454214,432
15094,三国志曹操传,1,0,0,1,1,7,46,116,125,49,146,346,8.43063583815029,1.0816857697041071,459
1089,悠久之翼-后篇,4,0,3,4,13,56,178,527,510,227,147,1522,8.378449408672799,1.161700784461264,2167
1916,轩辕剑三外传：天之痕,2,0,2,0,5,36,140,328,333,156,148,1002,8.393213572854291,1.1298322046543288,1321
29049,心跳回忆女生版3 白金版,1,0,0,0,1,4,16,32,39,30,149,123,8.528455284552846,1.3210318906561682,205
33895,十字军之王2,0,0,0,1,4,10,43,128,120,55,150,361,8.418282548476455,1.0680960552891547,504
339162,密特罗德 生存恐惧,2,1,1,0,1,10,32,101,147,37,151,332,8.424698795180722,1.1962761873850756,475
1598,零 红蝶,0,0,1,1,1,10,21,103,96,39,152,272,8.444852941176471,1.066144776405182,406
939,逆转裁判：复苏的逆转,0,0,0,1,6,23,207,642,534,150,153,1563,8.357645553422905,0.9130728022375445,2104
2112,塞尔达传说：织梦岛,2,2,1,0,0,3,8,33,57,27,154,133,8.496240601503759,1.6158242857941096,213
18443,蔷薇树上蔷薇花开,0,0,0,0,0,1,2,5,9,13,155,30,9.033333333333333,1.0796089827134432,70
2109,塞尔达传说：众神的三角力量,2,1,0,0,1,1,17,39,46,31,156,138,8.478260869565217,1.4803906226787529,223
2221,遥远的时空中3 with 十六夜记,1,0,1,0,2,5,11,24,30,33,157,107,8.532710280373832,1.542650692494316,185
308947,双人成行,1,0,2,0,8,22,120,393,377,97,158,1020,8.358823529411765,0.9964006735201782,1450
8641,精灵宝可梦 黑,1,0,1,2,6,17,77,219,179,95,159,597,8.368509212730318,1.14517996010994,888
16418,暗黑破坏神II,0,0,0,1,2,23,64,176,162,76,160,504,8.384920634920634,1.073975514804503,739
226956,海底,0,0,2,1,2,22,37,100,106,65,161,335,8.402985074626866,1.2466037622579762,569
1900,使命召唤4：现代战争,0,0,0,1,9,51,235,566,562,177,162,1601,8.342286071205496,1.0054278777472172,2138
147713,地下传说,7,4,3,11,17,41,120,327,376,195,163,1101,8.346049046321525,1.413299780681375,1643
12280,秽翼的尤斯蒂娅,8,4,3,11,27,127,485,1714,1536,430,164,4345,8.3307249712313,1.0514659848157424,5908
1148,东方永夜抄 ～ Imperishable Night.,0,0,0,0,5,40,202,513,397,178,165,1335,8.341573033707865,1.0094099201950488,1955
35655,精灵宝可梦 白2,1,0,0,2,0,11,32,133,101,48,166,328,8.390243902439025,1.1043825949920418,482
38363,神学校,2,0,0,0,0,10,36,68,60,51,167,227,8.405286343612335,1.328630271438803,321
1501,潜龙谍影2 自由之子,0,0,0,1,3,4,18,74,64,28,168,192,8.421875,1.0675812932551476,269
26943,半衰期,0,0,1,0,2,10,47,77,103,42,169,282,8.386524822695035,1.128088816114852,423
1889,仙境传说,0,1,0,1,7,32,60,102,112,99,170,414,8.3743961352657,1.348615857820803,580
618,VOCALOID2 角色主唱系列 CV01 初音未來,3,0,0,1,2,5,21,41,37,47,171,157,8.439490445859873,1.6291046332141081,227
10038,传送门,0,0,0,0,8,24,136,370,311,111,172,960,8.338541666666666,0.994240685111284,1431
949,节奏天国,0,0,0,0,1,0,30,56,50,28,173,165,8.442424242424243,1.0111590418411702,255
940,逆转裁判2,0,1,0,3,8,50,330,1012,732,257,174,2393,8.323443376514835,0.9578790704757364,3204
2831,魔兽世界：燃烧的远征,1,0,0,0,3,15,53,105,96,63,175,336,8.366071428571429,1.2100437987519126,495
47659,Shinobi忍,0,0,0,0,1,1,5,13,17,14,176,51,8.686274509803921,1.1460109173492123,76
3354,太阁立志传5,1,0,0,2,3,19,68,187,169,72,177,521,8.351247600767755,1.1124161328861497,682
1795,战国兰斯,10,0,4,7,10,43,201,588,497,222,178,1582,8.319848293299621,1.2286499748923732,2176
112339,伊苏8 -丹娜的陨涕日-,2,1,2,2,6,32,119,344,358,94,179,960,8.319791666666667,1.0958367989488926,1323
75834,天地创造,0,0,0,0,1,0,3,10,20,9,180,43,8.744186046511627,1.0136974287303893,71
205915,斯普拉遁2,1,0,1,0,5,20,73,227,186,74,181,587,8.330494037478704,1.0840992278499026,921
7885,魔力宝贝,0,0,0,0,0,8,28,48,35,37,182,156,8.416666666666666,1.1764698026643934,232
20810,刀塔2,19,4,6,5,23,70,130,271,270,319,183,1117,8.32408236347359,1.7319686700308041,1562
209250,空洞骑士,6,0,3,13,10,45,163,452,485,158,184,1335,8.306367041198502,1.2244989436637206,1986
4231,终极地带2 引导亡灵之神,1,0,0,0,0,0,6,9,19,14,185,49,8.693877551020408,1.4736333223294447,76
721,黄金太阳 开启的封印,0,0,0,1,1,11,52,98,97,46,186,306,8.352941176470589,1.090485220508575,411
3345,金庸群侠传,1,0,0,2,4,18,59,116,123,66,187,389,8.34190231362468,1.2310538385624639,523
1020,海猫鸣泣之时,9,3,7,22,20,52,168,443,425,272,188,1421,8.304714989444053,1.4561520850660383,2032
387052,最后生还者：第一部 重制版,1,0,0,1,1,3,4,24,27,20,189,81,8.530864197530864,1.4663839774124685,127
2055,精灵宝可梦 水晶,1,0,0,1,6,11,32,118,88,51,190,308,8.347402597402597,1.2085033167049066,421
