id,name_cn,rank,total
3,空中杀手,518,1901
8,Code Geass 反叛的鲁路修R2,104,11695
12,人形电脑天使心,798,3754
50,机动战士高达,327,2557
51,CLANNAD,69,16414
233,剧场版 空之境界 第一章 俯瞰风景,258,7761
234,AIR,220,8719
236,超时空要塞Frontier,1061,3226
237,攻壳机动队,7,7020
238,攻壳机动队2 无罪,14,5113
242,穿越时空的少女,304,9081
244,神灵狩,2882,450
247,银魂,21,9465
253,星际牛仔,2,12434
254,混沌武士,37,6580
259,夏目友人帐,219,8153
265,新世纪福音战士,9,20185
274,Kanon,442,5159
276,幸运星,112,10967
280,柯赛特的肖像,1768,911
281,死后文,2283,2161
282,狼与香辛料,364,7729
283,南家三姐妹,583,4931
284,草莓棉花糖,378,2767
286,机动战士高达00,698,4241
288,寒蝉鸣泣之时 解,166,7874
289,寒蝉鸣泣之时,193,9321
290,Fate/stay night,1977,8997
292,DARKER THAN BLACK -黑之契约者-,256,7423
294,图书馆战争,2091,1627
295,风之谷,74,5720
297,拜托了老师,3591,923
298,天空之城,44,8628
299,再见绝望先生,434,4190
300,俗・再见绝望先生,390,2733
302,龙猫,122,7789
303,迷宫塔 ～乌鲁克之盾～,2187,1049
304,RD 潜脑调查室,3503,228
305,魔女宅急便,467,3861
306,我自己；你自己,4153,1093
307,红猪,199,3339
308,君吻 pure rouge,3226,884
309,真实之泪,795,5310
310,幽灵公主,57,6727
311,千与千寻,24,15719
312,哈尔的移动城堡,355,6086
313,崖上的波妞,1693,2696
314,鲁邦三世 卡里奥斯特罗之城,299,854
315,钢之炼金术师,114,7171
317,我家有个狐仙大人,3778,1271
318,太阳王子霍尔斯的大冒险,4466,149
320,攻壳机动队 S.A.C. Solid State Society,66,2653
321,机动警察 和平保卫战,13,2213
382,萤火虫之墓,675,3050
323,秀逗魔导士EVOLUTION-R,3344,481
324,攻壳机动队 STAND ALONE COMPLEX,3,7562
325,鹡鸰女神,5768,1152
326,攻壳机动队 S.A.C. 2nd GIG,1,6351
329,忘却的旋律,5225,129
330,向阳素描×365,515,1087
334,全金属狂潮,555,4518
337,全金属狂潮 The Second Raid,352,3805
338,全金属狂潮 校园篇,144,5106
340,虫师,17,8350
369,老人Z,1143,759
382,萤火虫之墓,678,3051
407,平成狸合战,493,1318
425,哆啦A梦：大雄的恐龙,1636,536
436,哆啦A梦：大雄的宇宙开拓史,2080,369
437,哆啦A梦：大雄的大魔境,1897,346
438,哆啦A梦：大雄的海底鬼岩城,2132,317
439,哆啦A梦：大雄的魔界大冒险,1075,406
440,校园迷糊大王,238,3083
441,哆啦A梦：大雄的宇宙小战争,2147,331
442,哆啦A梦：大雄与铁人兵团,766,521
443,交响情人梦,259,2240
444,哆啦A梦：大雄与龙之骑士,2148,359
446,哆啦A梦：大雄的平行西游记,2759,375
