p_rk rk   total    per    simp   comp    title
1    1    187.864  0.870  0.992  10.432  攻壳机动队 S.A.C. 2nd GIG
2    3    213.949  0.858  0.995  11.025  攻壳机动队 STAND ALONE COMPLEX
3    2    271.891  0.857  0.998  12.318  星际牛仔
4    7    197.204  0.849  0.994  10.602  攻壳机动队
5    8    153.493  0.830  0.991  9.325   浪客剑心 追忆篇
6    5    189.363  0.830  0.995  10.332  猫和老鼠
7    14   154.881  0.822  0.988  9.349   攻壳机动队2 无罪
8    16   177.671  0.815  0.992  9.948   蓝色恐惧
9    6    284.542  0.814  0.996  12.278  新世纪福音战士剧场版 Air/真心为你
10   17   193.327  0.809  0.991  10.220  虫师
11   23   202.581  0.803  0.992  10.476  千年女优
12   15   342.834  0.799  0.991  13.202  白箱
13   9    372.373  0.790  0.997  13.752  新世纪福音战士
14   11   312.633  0.787  0.994  12.535  钢之炼金术师 FULLMETAL ALCHEMIST
15   4    364.305  0.773  0.996  13.308  CLANNAD 〜AFTER STORY〜
16   29   102.503  0.772  0.969  7.500   虫师 续章 第2期
17   10   172.223  0.772  0.981  9.285   3月的狮子 第二季
18   27   237.307  0.769  0.990  11.049  天元突破 红莲螺岩
19   13   79.602   0.768  0.939  6.659   机动警察 和平保卫战
20   31   99.093   0.767  0.962  7.386   机动战士高达0080 口袋里的战争
21   24   322.174  0.767  0.991  12.765  千与千寻
22   48   185.164  0.762  0.985  9.826   红辣椒
23   37   152.413  0.762  0.982  8.924   混沌武士
24   32   249.927  0.761  0.983  11.256  福音战士新剧场版：破
25   22   320.845  0.761  0.991  12.486  凉宫春日的消失
26   19   420.201  0.759  0.986  14.110  命运石之门
27   39   210.154  0.757  0.987  10.253  四叠半神话大系
28   92   129.325  0.756  0.971  8.305   东京教父
29   20   154.413  0.755  0.980  9.007   灌篮高手
30   44   192.599  0.754  0.983  9.954   天空之城
31   41   110.638  0.754  0.971  7.680   虫师 续章
32   33   212.409  0.753  0.986  10.302  乒乓
33   30   102.371  0.745  0.982  7.466   大闹天宫
34   54   265.928  0.745  0.979  11.439  死亡笔记
35   40   218.408  0.745  0.971  10.137  奇巧计程车
36   34   58.355   0.743  0.934  5.748   哆啦A梦 大山版
37   43   128.758  0.742  0.976  8.163   新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你
38   57   160.994  0.741  0.984  9.137   幽灵公主
39   66   87.974   0.734  0.950  6.842   攻壳机动队 S.A.C. Solid State Society
40   97   119.147  0.731  0.961  7.908   星际牛仔 天国之扉
41   74   137.316  0.730  0.974  8.408   风之谷
42   49   80.818   0.728  0.951  6.581   攻壳机动队2.0
43   25   240.897  0.726  0.983  10.541  进击的巨人 第三季 Part.2
44   58   201.765  0.723  0.979  9.890   剧场版 空之境界 第五章 矛盾螺旋
45   101  185.449  0.722  0.954  9.425   JOJO的奇妙冒险 星尘斗士 埃及篇
46   35   74.990   0.721  0.945  6.285   机动战士Z高达
47   73   145.988  0.719  0.961  8.439   少女与战车 剧场版
48   108  112.006  0.716  0.963  7.593   皇家国教骑士团 OVA
49   55   77.665   0.715  0.947  6.375   机动战士高达 逆袭的夏亚
50   154  80.651   0.714  0.947  6.551   回忆三部曲
51   12   54.978   0.713  0.888  5.442   银河英雄传说
52   46   108.036  0.712  0.947  7.262   排球少年 乌野高校 VS 白鸟泽学园高校
53   38   385.577  0.706  0.983  13.144  魔法少女小圆
54   21   162.824  0.705  0.972  8.841   银魂
55   109  78.193   0.704  0.942  6.391   虫师 特別篇 蚀日之翳
56   77   266.759  0.703  0.965  11.134  Code Geass 反叛的鲁路修
57   122  156.948  0.703  0.958  8.814   龙猫
58   91   144.223  0.701  0.957  8.471   数码宝贝大冒险
59   84   67.191   0.699  0.934  5.864   怪物
60   107  224.870  0.698  0.950  10.144  来自深渊
61   75   109.779  0.698  0.943  7.257   排球少年 第二季
62   47   91.201   0.697  0.951  6.680   蜂蜜与四叶草II
63   119  61.519   0.694  0.929  5.682   虫师 特别篇 铃之雫
64   50   105.630  0.693  0.959  7.132   蜂蜜与四叶草
65   125  102.876  0.692  0.961  7.197   飞跃巅峰！
66   111  173.529  0.691  0.967  9.017   永生之酒
67   51   220.510  0.690  0.974  9.998   剧场版 魔法少女小圆 [新篇] 叛逆的物语
68   96   84.388   0.689  0.943  6.553   太空丹迪 第二季
69   116  93.756   0.688  0.943  6.797   机器人总动员
70   52   142.445  0.687  0.969  8.027   新・福音战士剧场版：终
71   53   94.152   0.686  0.970  6.799   少女革命
72   45   73.478   0.684  0.901  5.905   瑞克和莫蒂 第一季
73   123  98.067   0.684  0.935  6.908   歌牌情缘2
