t_rk  rank  total     per     simp    comp    title
7696  7654  -185.143  -0.753  -0.970  -9.681  迷家
7695  7639  -183.866  -0.712  -0.945  -9.190  成神之日
7694  6139  -179.818  -0.228  -0.410  -5.301  夏洛特
7693  6773  -174.310  -0.274  -0.495  -5.786  甲铁城的卡巴内利
7692  7570  -163.703  -0.597  -0.882  -8.102  Fate/Apocrypha
7691  6721  -147.447  -0.360  -0.580  -5.937  约会大作战 第二季
7690  7573  -143.348  -0.579  -0.871  -7.328  刀剑神域 Alicization篇 War of Underworld -THE LAST SEASON-
7689  6342  -139.418  -0.214  -0.423  -4.466  DARLING in the FRANXX
7688  5991  -137.911  -0.183  -0.314  -4.171  欢迎来到实力至上主义教室
7687  7051  -137.823  -0.426  -0.704  -6.323  东京喰种√A
7686  6724  -136.977  -0.357  -0.583  -5.638  五等分的新娘
7685  7341  -136.599  -0.513  -0.808  -6.802  魔法禁书目录 第三季
7684  6938  -130.756  -0.327  -0.569  -5.388  魔法科高校的劣等生
7683  6476  -129.762  -0.235  -0.399  -4.659  没有黄段子存在的无聊世界
7682  7280  -126.942  -0.460  -0.745  -6.330  终结的炽天使
7681  7149  -121.403  -0.388  -0.661  -5.656  舰队Collection
7680  4840  -121.119  -0.084  -0.151  -2.926  罪恶王冠
7679  7536  -118.959  -0.586  -0.843  -6.787  约会大作战 第三季
7678  7325  -117.406  -0.412  -0.744  -5.722  ALDNOAH.ZERO 第二季
7677  7578  -116.357  -0.598  -0.849  -6.874  平凡职业造就世界最强
7676  4912  -116.050  -0.087  -0.143  -2.834  埃罗芒阿老师
7675  6479  -115.232  -0.257  -0.427  -4.532  线上游戏的老婆不可能是女生？
7674  5056  -113.267  -0.080  -0.149  -2.956  在下坂本，有何贵干？
7673  4802  -112.329  -0.084  -0.160  -2.898  约会大作战
7672  7498  -111.868  -0.458  -0.785  -5.950  轻羽飞扬
7671  6876  -111.562  -0.328  -0.557  -4.936  盾之勇者成名录
7670  5840  -109.905  -0.209  -0.364  -4.087  绯弹的亚里亚
7669  7653  -109.141  -0.729  -0.924  -7.386  约定的梦幻岛 第二季
7668  7451  -109.050  -0.506  -0.764  -6.147  某科学的一方通行
